,Recipe name,Ingredients,Carbon emission(kg),Energy(kcal),fat(g),Protein(g),Carbohydrate(g),Serving,Instructions,Prep time(min),Cook time(min),Total time(min),Breakfast,Lunch,Dinner
29,White Wine And Mushroom Cashew Rigatoni With Steamed Spring Greens,"['400 g Pasta (preferably rigatoni)', '150 g Cashews (soaked overnight)', '300 ml Vegetable Stock', '500 g Chestnut Mushrooms', '2 Cloves Garlic', '4 Shallots', '3 Tablespoons Nutritional Yeast', '200 ml White Wine', '50 g Puy Lentils', '1/2 Lemon (zested & juiced)', '25 g Parsley', '3 Tablespoons Olive Oil', '200 g Spring Greens']",0.17,892,49.6,34.2,62.3,6,"['Place your cashews in a bowl or jar and cover with water. Let soak overnight or at least 6 hours.;Put the lentils on to cook. Place in a small saucepan, cover with water, salt heavily and bring to the boil. Then cover and simmer for 20 – 25 minutes or until the lentils are aldente. Drain and reserve in the pan.;Now prepare all your vegetables. Slice your mushrooms lengthways into half centimetre pieces – you should get about 4 – 5 slices per mushroom. Then peel and finely dice your garlic and shallots. Finally, wash your greens under a cold tap and then thinly slice into long ribbons.;Using frying pan over a high heat fry the mushrooms in batches. Place a little olive oil in the pan, then toss in a handful of mushrooms. Season lightly with salt and fry for a few minutes. Then add a few tablespoons of one of the 100 ml white wine servings and reduce. Stir the mushrooms in the pan to ensure they are evenly coated in the wine mixture. Fry for a further 2 – 4 minutes until the mushrooms are have a golden brown glaze and the wine has completely reduced. Continue until all the mushrooms are cooked. Remove from the pan and reserve.;Using the same frying pan heat a tablespoon of olive oil over a medium to low heat. Toss in the chopped shallots and garlic and fry gently for 5 minutes until the shallots are soft and see-through. Then add 100 ml of the white wine and reduce by half. Take off the heat.;In a high-speed blender combine the soaked cashews, lemon juice, vegetable stock, nutritional yeast, 20g of parsley, the shallot mixture and half the fried mushrooms. Blend until smooth. (If you can’t fit all the ingredients in your blender in a single go – remove the mushrooms from the blending ingredients. Then, once blended pour out half the cashew mixture and re-add the mushrooms. Blend to incorporate. Then combine both mixtures in a bowl.);Pour the blended mixture into a large pan over a very low heat, just enough to keep warm. If the mixture looks a little too thick just add as much water as needed to thin. Taste and season appropriately. Then toss in the cooked lentils and reserved mushrooms and cover. Leave warming until required.;Cook your pasta in a pot of large pot of salted boiling water. Cook according to the pack instructions until aldente. Whilst the pasta is cooking, place a colander over the pan, then place the spring greens inside and cover with the pan lid. Leave for 3-5 mins to steam. Then remove and reserve.;Drain the pasta and combine with the warm pasta sauce. Tip in the spring greens and stir to evenly distribute. Serve each dish with a sprinkling of lemon zest, some chopped parsley and cracked pepper.']",10,30,40,0,1,1
30,Speedy Vegan Chocolate Mug Cake,"['6 Tablespoons Self-raising Flour', '1 Teaspoon Baking Powder', '4 Tablespoons Sugar', '2 Tablespoons Cocoa Powder', '6 Tablespoons Sunflower Oil', '6 Tablespoons Oat Milk']",0.81,1171,86.8,8.3,101.0,2,"['Preheat an oven to 200˚c.;In a large mixing bowl, mix all the ingredients together until smooth. The mixture should be thick but pourable, if it appears too thick add tablespoons of milk until you reach the desired consistency.;Pour the bowl contents into two small ramekins or enamelware and place into the 200˚c oven. Cook for 10-12 minutes, or until the cake has risen considerably and beginning to take some colour. The middle should be still runny but warm at this point.;Remove from the oven and enjoy instantly!']",3,12,15,1,1,0
31,"Sweet Potato Rosti With Smokey Black Beans And Blackened Spring Onion, Corn And Tomato Salsa","['400 g Sweet Potato', '100 g Spring Onion', '1 Ear Sweetcorn', '1 Large Tomato', '1 Teaspoon Cumin Seeds (toasted & lightly crushed)', '0.5 Teaspoon Coriander Seeds (toasted & lightly crushed)', '1 Red Chilli (diced)', '2 Tablespoon Brown Rice Flour', '160 g Black Beans', '2 Cloves Garlic', '1 Whole Dried Chilli (preferably ancho chilli)', '1 Teaspoon Smoked salt', '2 Tablespoons Olive oil', '1 Lime', '3 Sprigs Coriander (chopped)']",0.16,1482,34.8,55.8,256.1,2,"['Cut the sweet potato in half, leaving the skin on and blanching in boiling water for 5 minutes. Allow this to cool.;While the potato cools, get on with prepping the rest of your veg. Cut the tomatoes in half and place these cut side down in a heated frying or griddle pan along with 2 spring onions and the ear of corn. Allow these to cook until they char, rotating the corn and spring onions to ensure all sides colour evenly. You only want to char the cut side of the tomato. When this is nicely charred remove from the pan and set aside on a plate to cool.;Once the sweet potato is cool enough to handle, grate it into a cloth over a bowl and let it sit, allowing the cloth absorb any additional moisture.;Next, finely slice and the remaining spring onions and add this along with a bit of oil, cumin and coriander seeds, and red chilli until fragrant, this should take 3-4 minutes.;Squeeze any remaining liquid out of the sweet potato using the cloth and add the potato to a bowl along with the onion, spices, and rice flour along with a good pinch of sea salt and black pepper. Mix until well combined. Heat the oven to 180C(fan)/160C(non-fan)/gas mark 4.;Next heat a bit of oil large frying pan (need dimensions), enough to coat the bottom of the pan. Press the rosti mixture into an even layer in the pan. Allow this to cook for 3-4 minutes on a medium heat on both sides.;Whilst your rosti cooks, add your beans to a small sauce pan along with half the chopped dried chilli, smoked salt and a glug of olive oil to heat through.When your rosti is ready, turn it out onto a large baking tray and pop it on a tray and in the oven for 5-10 minutes to further crisp while you make the salsa.;Make your salsa by adding the tomatoes (chopped into eighths), corn cut from the cob and chopped spring onions into a bowl with the lime juice, the remaining ancho chilli, olive oil, coriander and a pinch of salt & pepper. Stir to mix.;Serve the rosti on a plate or wooden board, topped with the beans and salsa.']",15,20,35,0,1,1
32,Summer Minestrone,"['1 Small Fennel (diced)', '0.5 Small Onion (diced)', '1 Carrot (diced)', '1 Stick Celery (diced)', '1 Clove Garlic (chopped)', '1 Courgette (diced)', '500 ml Vegetable Stock', '50 g Peas (podded)', '50 g Chard (shredded)', '150 g Borlotti Beans', '50 g Orzo', '3 Stalks Basil (roughly chopped)', '3 Stalks Parley (roughly chopped)', '0.5 Lemon (zested)']",0.28,828,5.7,46.8,158.4,2,"['Heat a good glug of olive oil to a large saucepan then add fennel, onion, carrot and celery, stirring to coat in the oil. Add a splash of water (about a tbsp), cover the pan with a lid and cook over a low heat for 10-12 minutes until the veg soften. Stir the veg occasionally to avoid them taking on too much colour).;', 'Next, add the garlic and cook with the lid off for 2-3 minutes before adding the courgette and the stock and orzo. Cover and let this summer for 5 minutes before adding the peas, chard and beans. Cook for another 5 minutes.;', 'Turn off the heat zest in half a lemon, add the chopped basil and parsley and stir. Taste and check the seasoning, adding salt and pepper to taste along with a drizzle of olive oil.;', 'Serve warm with a side of crusty bread.']",10,20,30,0,1,1
33,Roasted Red Pepper And Tomato Bread Soup,"['1 Red Pepper', '3 Tablespoon Olive Oil', '1 Small Red Onion (Finely Sliced)', '3 Clove Garlic (Chopped)', '500 g Tomato', '30 g Quinoa', '1 Teaspoon Smoked Paprika', '0.5 Teaspoon Miso (Disolved in 100ml of water)', '6 Stalks Basil (Chopped)', '100 g Sourdough Bread']",0.41,948,47.7,24.6,116.4,4,"['Preheat your oven to 200C(fan)/ 180C (non fan)/gas mark 6 and place the pepper on the oven rack, roasting for 10-15 minutes until the pepper is soft. While the oven is in use, make your croutons by coating the bread in the miso, and a drizzle olive oil, with a pinch of pepper and roasting and until golden.;', 'Meanwhile, in a saucepan, heat the oil and cook the onion and garlic on a medium/low heat until soft.;', 'Next, add the chopped tomatoes and simmer until the chunks being to break down. Peel and de-seed the pepper, chop and add to the pan along with 400 ml water and the quinoa. Continue to simmer for another 10 minutes until the quinoa is cooked.;', 'Turn off the heat and add the basil, season to taste.;', 'Serve warm or cold with an extra drizzle of olive oil and topped with the croutons.']",5,25,30,1,1,1
34,Buckwheat And Peach Salad With French Beans And Balsamic Glaze,"['100 g French Beans', '40 g Almonds', '2 Teaspoon Tamari', '1 Teaspoon Smoked Paprika', '1 Teaspoon Olive Oil', '150 ml Balsamic Vinegar', '2 Tablespoon Unrefined Sugar', '50 g Buckwheat Groats (Toasted)', '2 Peaches (Sliced)', '4 Sprigs Basil', '30 g Lamb’s Lettuce']",0.36,827,27.9,32.7,114.8,2,"['Preheat the oven to 180C (fan)/160C (non-fan)/ gas mark 4. Coat the almonds in tamari, smoked paprika, olive oil and a pinch of sea salt. Pop these on a roasting tray and roast for 8-10 minutes, until deep golden. When done set aside to cool.;', 'In another roasting tray, add the washed and dried buckwheat groats. Coat in a drizzle of olive oil and allow these to roast in the oven for 10 mins until they just being to pop.;', 'Meanwhile, make the balsamic glaze by heating the vinegar in a small saucepan and letting it simmer for 5 minutes before adding the sugar. Carry on letting this bubble and reduce for another 3-5 minutes. You want this to reduce by half. Set aside to cool.;', 'Blanche the green beans in boiling water for 3 minutes before plunging into cold water. Set aside.;', 'Assemble salad by adding the sliced peaches to the basil, lettuce, drained beans, buckwheat and almonds. Toss and serve drizzled with the balsamic glaze.']",5,25,30,0,1,1
35,Braised Courgettes With Haricot Beans And Pistou,"['4 Tablespoon Olive Oil', '1 Teaspoon Fennel Seed', '1 Small Red Onion', '1 Teaspoon Dried Red Chilli', '150 g Cherry Tomatoes', '2 Clove Garlic', '1 Large Courgette', '330 ml Vegetable Stock', '2 Teaspoon Sherry Vinegar', '1 Lemon', '300 g Cooked Haricot Beans', '5 g Dill', '5 g Basil', '5 g Marjoram']",0.4,767,60.4,15.4,64.2,4,"['Heat the oil in a high sided frying pan (be sure you have lid or something the right size to cover the pan). Add the fennel seeds, onions and chilli and cook on a medium/low heat until the onions begin to soften.;', 'Add the cherry tomatoes, garlic and courgettes, add the stock, cover and cook for 5 minutes.;', 'Next add the vinegar, lemon juice and beans and cook on a low heat for another 10-15 minutes until the courgettes start to collapse and the beans begin to break up.;', 'Whilst the veg are cooking, in a pestle and mortar, make the pistou by pounding the chopped herbs, add a pinch of salt into a paste and add a few drizzles of olive oil until you have a green spoonable, slurry.;', 'Serve the braised courgettes with crusty bread and the pistou drizzled over the top.']",10,20,30,1,1,1
36,Tomato Galette With Garlic Whipped Tahini And Fried Olives,"['185 g Wholemeal Spelt Flour', '0.25 Teaspoon Sea Salt', '0.5 Tablespoon Milled Flaxseed', '30 g Tahini', '50 ml Olive Oil', '70 g Tahini', '2 Cloves Garlic (minced)', '1 Lemon (juiced)', '1 Large Beef Tomato', '5 g Marjoram', '2 Teaspoon Zaatar', '20 g Black Olives']",0.36,1735,112.8,44.0,150.4,4,"['Preheat your oven to 180C (fan)/(gas mark 4) and line a flat baking tray with parchment.;', 'Make up your pastry by first whisking the flour with the salt and flaxseeds, leaving a well in the middle.;', 'Next, pour the oil and tahini into the well and mixing to incorporate. Add 1-2 tablespoons of cold water a teaspoon at a time until the pastry forms a smooth ball.;', 'Wrap the pastry in a cloth and pop in the fridge to set whilst you get on with making the rest.;', 'Make the whipped tahini by adding tahini, garlic, lemon and 60 ml water into a food processor or blender. Blend until you have a smooth, creamy consistency. This will take a few minutes. Once this is whipped, set it aside.;', 'Add the sliced tomato, chopped oregano, a pinch of salt & pepper and a glug of olive oil to a bowl and mix. Let this sit whilst you roll out your pastry on your lined tray.;', 'Sprinkle over a bit of flour and roll the pastry to in a round, approximately the thickness of a pound coin.;', 'Spread the whipped tahini on the centre base of the pastry, leaving a 3 cm ring around the edge. Next, layer the tomatoes on top of the tahini.;', 'Fold the edges the pastry edges over to touch the filling and brush with a bit of olive oil and sprinkle over the zaatar over the crust and tomatoes.;', 'Put the galette in the oven and bake for 20-25 minutes.Whilst the galette cooks, heat a small frying pan and add a glug of olive oil. Add the olives to the pan and cook until the edges crisp. Set aside.;', 'Your galette is ready when the pastry is golden and the tomatoes are soft with slightly charred edges.;', 'Sprinkle over the olives over the galette and serve warm with a summery salad.']",20,30,50,0,1,1
37,Fresh Tomato And White Bean Summer Stew With Fried Aubergine,"['750 g Tomato', '100 g Bread', '2 Onion', '2 Clove Garlic', '200 g Runner Beans', '400 g Cooked White Beans', '2 Teaspoon Dried Oregano', '10 g Thyme', '2 Teaspoon Red Pepper Flakes', '2 Aubergine', '4 Tablespoon Olive Oil']",0.38,2881,67.8,136.5,474.3,4,"['Loosely chop the tomatoes, removing the white pith from the centre of the tomato. Place the tomato into a blender and whiz until smooth. Finely dice the garlic and onion. Heat half the olive oil in a deep saucepan over a medium heat. Toss in the garlic and onion and fry for about 3 – 4 minutes until the onion has softened. De-stalk chop the thyme, add alongside the oregano and red pepper flakes to the pan and fry with the onion for a minute more.;', 'Pour the tomatoes into the pan, bring to the boil, reduce the heat, cover and simmer for 5 minutes. Add the white beans to the pan and cook for a further 10 minutes.;', 'Whilst the stew is cooking, chops the aubergine into 1 cm pieces. Heat the remaining olive oil in a wide frying pan over a high heat and fry the aubergine for 5 minutes or until the exterior has taken some colour and the pieces have softened.;', 'Uncover the stew. Chop the green beans into small pieces, about half a cm in length. and toss into the mixture. Season the broth and remove from the heat. Allow the pan to sit for a couple of minutes. Tear the bread into small pieces (if it isn’t suitably stale you can place into a hot oven for a few minutes to dry out) and then tip into the soup along with 100 ml of boiling water. Mix the pieces into the stew with a wooden spoon, allowing the bread to soak up the sauce. If the stew becomes too thick, you can add a little more boiling water to thin.;', 'Serve the soup in bowls with a good helping of the aubergine arranged on top.']",5,25,30,0,1,1
38,Chillied Rice With Zaatar Roast Chickpeas And Flat Beans,"['400 g Cooked Chickpeas', '2 Tablespoon Zaatar', '6 Tablespoon Olive Oil', '300 g Long Grained Rice', '2 Teaspoon Turmeric', '2 Teaspoon Chilli Flakes', '2 Leaves Bay Leaf', '300 g Flat Green Beans', '200 g Radish', '30 g Parsley', '1 Lemon', '2 Teaspoon Maple Syrup']",0.47,2800,112.1,94.3,377.0,4,"['Zest and juice the lemon into separate containers. Pour the chickpeas into a large roasting tray and cover with the zatar, a tablespoon of lemon juice, and 2 tablespoons of the olive oil. Mix well to evenly coat the chickpeas in the spice mixture. Then place in a 200˚c oven for 15 minutes until they have a little colour and a pleasing crunch.;', 'Whilst the chickpeas are roasting, place the rice in a large saucepan. Add the chilli flakes, bay leaf, turmeric and some seasoning then pour over enough boiling water to cover the rice by about an inch. Stir the contents to evenly distribute the spices. Cover the pan and simmer for about 15 – 20 minutes until the rice is fluffy and plump.;', 'Now make the dressing. Place the olive oil, lemon zest, 3 tablespoons of the lemon juice and maple syrup in a small jar and combine with a fork. Season with a little salt and pepper.;', 'When the chickpeas have roasted, remove from the oven and reserve in the pan. Thinly slice the radishes and flat beans. Toss the flat beans into a pan of boiling water. Boil for about a minute, then drain and reserve in the pan.;', 'Roughly chop the parsley. Then in a mixing bowl, or one of the pans already used, combine all the ingredients; rice, chickpeas, radish, beans, parsley and dressing. Toss well and serve.']",0,25,25,0,1,1
39,Sticky Chinese Five Spice Vegetable Stir Fry,"['300 g Sugar Snap Peas', '2 Large Carrot', '2 Medium Red Pepper', '2 Large Spring Onion', '300 g Long Grained Rice', '2 Tablespoon Sunflower Oil', '2 Tablespoon Sesame Seeds', '75 g Ginger', '2 Tablespoon Soya Sauce', '2 Tablespoon Maple Syrup', '2 Teaspoon Chinese Five Spice']",0.35,1399,43.7,33.1,229.5,4,"['First cook the rice. Place the rice in a deep saucepan, cover with water and bring to the boil. Reduce to a simmer, cover and cook for 15 – 20 minutes until the rice is soft. Drain and fluff the rice with a fork. Leave to rest in the saucepan until needed.;Whilst the rice is cooking make the five spice sauce. Peel and grate the ginger into a small bowl. Then combine with the rest of the sauce ingredients and a pinch of salt. Mix well.;When the rice has about 10 minutes left fry the vegetables. Halve the peppers, removing the stem and seeds. Then slice lengthways into thin strips. Halve and chop the carrots into thin batons. Heat the sunflower oil in a large frying pan over a high heat, toss the peppers, carrots and peas into the oil and fry for about 3 – 5 minutes until the vegetables start to soften. Pour the five spice mixture to the pan and cook for a further 3 minutes until the sauce reduces and the vegetables begin to take some colour. Remove from the heat.;Once the vegetables have cooked immediately plate the portions of cooked rice and pour the fried vegetables over the top. Slice the spring onions and sprinkle over each dish to garnish along with the sesame seeds.']",5,25,30,0,1,1
40,Spelt And Courgette Summer Soup,"['150 g Spelt', '250 g Cooked Cannellini Beans', '2 Medium Courgette', '200 g Green Beans', '2 Sprigs Rosemary', '5 Litres Vegetable Stock', '2 Medium Onion', '2 Clove Garlic', '40 g Basil', '2 Tablespoon Olive Oil']",0.43,1880,38.3,88.8,312.0,4,"['Finely dice the garlic and onion. Heat the olive oil over a medium heat in a deep saucepan. Tip in the garlic and onion and fry for about 3 – 4 minutes until the onion softens. De-stalk and chop the rosemary and pour into the pan, frying for a further minute, before adding the spelt. Briefly cook the spelt, mixing the pan contents well so that the spelt is evenly coated in the herb mixture. Then pour over the stock. Bring to the boil, then reduce to a simmer, cover and cook for 20 – 25 minutes until the spelt is soft.;Once the spelt is cooked. Halve and chop the courgettes into 1 cm thick half moons. Top and tail the green beans, then add them along with the courgettes and cannellini beans to the soup. Cook for a further 5 minutes, until the courgettes are soft and the beans are warmed through. Season the soup to taste.;Just before serving, shred the basil and stir into the hot soup. Plate immediately.']",5,30,35,0,1,1
41,Moroccan Spiced Tomato Lentils With Grilled Courgettes,"['300 g Green Lentils', '4 Medium Courgette', '4 Tablespoon Olive Oil', '30 g Parsley', '2 Medium Red Pepper', '2 Tablespoon Tomato Paste', '2 Small Onion', '2 Clove Garlic', '2 Tablespoon Paprika', '2 Teaspoon Cumin', '2 Teaspoon Ground Ginger', '2 Teaspoon Turmeric']",0.33,1851,64.4,94.0,245.3,4,"['Cook the lentils first. Bring a large pan of salted water to the boil and add the lentils. Reduce the heat to a simmer, cover and cook for about 20 minutes or until lentils are tender.;Whilst the lentils are cooking blend the sauce. Roughly chop the peppers (removing stalk and seeds), onion and garlic. Then place the chopped veg along with the rest of the sauce ingredients and some seasoning into a blender. Whiz until the sauce is an even consistency. Reserve until the lentils are cooked.;Once the lentils are about 10 minutes into cooking. Slice the courgettes lengthways into 1 cm thick long strips. Place on an oven tray and cover with the olive oil. Season heavily with salt and pepper and place in a 200˚c oven for about 10 minutes until the courgettes have softened and are blackening on the outside. Remove and cover with a pan lid to keep the heat in the courgettes.;When the lentils have cooked, drain them then add back to the pan and stir in the sauce. Cook them on a low heat for about 5 minutes. Chop the parsley and tip into the lentils, mix to combine. Plate the lentils and place a few of the grilled courgette strips on top of each dish.']",5,30,35,0,1,1
42,Spinach And Red Pepper Thai Curry,"['300 g Long Grain Rice', '2 Red Pepper', '2 Medium Onion', '2 Clove Garlic', '60 g Ginger', '200 g Spinach', '2 Large Carrot', '2 Large Spring Onion', '100 g Creamed Coconut', '3 Tablespoons Red Curry Paste', '1 Small Red Chilli', '2 Tablespoon Sunflower Oil']",0.41,2735,115.8,47.9,381.8,4,"['First cook the rice. Rinse the grains and then place in a medium pan. Cover with about double the amount of water. Cook over a high heat, bringing to the boil, cover, then turn to a simmer. Cook for about 15 – 20 minutes. Drain and fluff with a fork. reserve until later.;', 'Whilst the rice is cooking. Peel and loosely chop the onion, ginger, red chilli and garlic. Place them in a blender along with 2 tablespoons of water. Blitz until the ingredients have reached a smooth consistency.;', 'Heat the sunflower oil in a large frying pan, over a medium heat. Add the onion mixture and fry for about 5 minutes. Whilst the onions are cooking, halve and slice the red pepper, discarding the pith and stem. Add the curry paste and red pepper to the pan. Stir the contents until the paste and onion evenly coats the pepper. Fry for a further few minutes.;', 'Combine the creamed coconut with 500 ml of boiling water and then pour into the pan. Bring the contents to the boil, then turn down to a simmer. Cook for about 10 minutes or until the sauce has thickened. Remove the pan from the heat and stir spinach into the sauce until it begins to wilt.;', 'Chop the carrots into small batons and slice the spring onions. Plate the rice and spoon a decent helping of the curry over it. Sprinkle the chopped carrots and spring onions over the top.']",10,25,35,0,1,1
43,Balsamic Roasted Fennel With A Bulgur And Herb Salad,"['4 Heads Fennel', '300 g Bulgur Wheat', '50 g Parsley', '50 g Mint', '50 g Dill', '2 Teaspoon All Spice', '150 g Dried Apricot', '1 Lemon', '2 Large Buffalo Tomato', '4 Tablespoon Balsamic Vinegar', '2 Tablespoon Olive Oil']",0.56,1741,50.3,57.7,301.7,4,"['Halve the fennel bulbs lengthways and toss with the olive oil, balsamic vinegar and a helping of salt. Place on a roasting tray, flat side down. Toast in a 200˚c oven for 15 – 20 minutes until the bottom of the fennel is nicely caramelized.;', 'Whilst the fennel is roasting, cook the bulgur wheat. Place in a medium pan and cover with water. Bring the boil, cover and simmer for 10 – 15 minutes until the bulgur is aldente. Drain and place into a large mixing bowl to cool.;', 'Roughly dice the dried apricot, then finely slice all of the herbs. Pour the herbs and apricots into the mixing bowl along with the bulgur one it has cooled. Dice the tomatoes into 1 cm pieces and tip into the salad, then combine all the ingredients with a mixing spoon. Whilst stirring the ingredients, add the allspice and a good squeeze of lemon juice to the bulgur. Season to taste.;', 'Serve the bulgur with the fennel arranged on top.']",10,25,35,0,1,1
44,Heritage Tomato And Couscous Salad With Toasted Thyme Breadcrumbs,"['700 g Tomatoes', '200 g Bread (stale or leftover)', '10 g Thyme', '1 Lemon', '2 Clove Garlic', '250 g Couscous', '8 Tablespoons Olive Oil', '20 g Mint', '50 g Capers', '4 Tablespoon Balsamic Vinegar']",0.41,2112,116.5,41.8,239.3,4,"['Place the couscous in a large pan and cover with boiling water. Allow the couscous to sit for 5 minutes. After this time it should be soft and fluffy. Quickly mix with a fork and then reserve for later.;', 'Blend the bread with the thyme, zest from the lemon and 2 tablespoons of the lemon juice. Heat the 2 tablespoons of olive oil in a shallow frying pan over a medium temperature. Finely slice the garlic and then add to the pan. Fry the garlic for 2 minutes and then add the bread and lightly fry for 4 – 6 minutes until it begins to take on a little colour.;', 'Mix the ingredients for the dressing together in a small glass, then add seasoning to taste. Feel free to add a little of the leftover lemon juice to the dressing.;', 'Slice the tomatoes into large circles and toss with the couscous, and chopped mint. Plate the salad and top with each serving with a good helping of the breadcrumbs and a drizzle of dressing.']",10,10,20,0,1,1
45,Cashew And Wild Garlic Alfredo With Rigatoni,"['150 g Cashew', '75 ml Oat Milk', '2 Tablespoons Nutritional Yeast', '1 Tablespoon Lemon Juice', '15 g Garlic', '30 g Parsley', '20 g Pine Nuts', '400 g Rigatoni']",0.26,2603,92.6,89.9,372.1,4,"['Boil water in a kettle and soak the cashews in the hot water for 20 minutes.;', 'Drain the cashews and add them along with the nutritional yeast, wild garlic, salt, pepper and oat milk to a blender. Blend on high until creamy and smooth, scraping down sides as needed.;', 'Prepare the pasta. Put the rigatoni in a pan of salted boiling water, cover and cook for 5 – 10 minutes or until the pasta is aldente. Remove from the heat and drain, reserving the cooking water, and return the pasta to the pan.;', 'Finely chop the parsley and add to the pasta, along with the cashew sauce and pine-nuts. Mix well to combine, serve immediately.']",20,20,40,1,1,1
46,Kale And Fresh Mint Soup,"['600 g Potato', '200 g Kale', '30 g Mint', '240 g Red Kidney Beans (cooked)', '1 Medium Onion', '1 Clove Garlic', '1 Litre Vegetable Stock', '2 Tablespoons Olive Oil', '1 Bay Leaf']",0.24,904,36.9,20.5,148.0,4,"['Peel and chop the potato into 1 cm cubes. Finely dice the onion and garlic, heat the olive oil in a deep pan over a medium heat, and add both. Fry for 2 – 3 minutes or until the onion is see-through. Add the chopped potato, stock and bay leaf. Cover and simmer for 10 – 15 minutes until the potato is soft.;Roughly chop the kale and mint. Once the potato is cooked, add the kale and mint to the pan, reserving a little of the mint for garnish. Cook for a further 1 – 2 minutes until the kale has just wilted.;Remove the about a third of the soup and transfer to a blender. Whiz the mixture until smooth and then add back into the pan, along with the cooked kidney beans. Simmer for a further 5 minutes.;Heap the rest of the mint over the soup and serve immediately.']",10,20,30,0,1,1
47,Spiced Turnip And Chickpea Couscous,"['240 g Cooked Chickpeas', '600 g Turnip', '1 Large Onion', '2 Tablespoons Sunflower Oil', '1 Teaspoon Ground Cinnamon', '1 Teaspoon Ground Ginger', '1 Teaspoon Ground Cumin', '2 Teaspoon Ground Coriander', '30 g Dried Raisins', '20 g Pumpkin Seeds', '100 g Couscous', '15 g Fresh Coriander']",0.16,1947,53.9,73.0,307.7,4,"['Coarsely grate the onion and peel and dice the turnips into 1 cm sized pieces. Heat the oil in a wide saucepan and add the cooked chickpeas, onion, turnips, spices, and seasoning. Fry for around a minute then pour in enough water to cover the mixture. Place a lid on the pan and simmer for 15 minutes.;', 'Roughly chop the coriander. Uncover the pan and stir in the raisins, half the chopped coriander, salt and plenty of pepper. Simmer, with the lid off, for a further 10-15 minutes or until the liquid has reduced to a thick sauce.;', 'Whilst the turnips are cooking for the final time, prepare the couscous. In a bowl add the couscous and 1 and 1/2 cups of boiling water, let the mixture sit for 5 – 10 minutes. After resting fluff with a fork.;', 'Serve the spiced turnips on a bed of couscous, sprinkle the remaining chopped coriander and pumpkin seeds over the top.']",10,25,35,0,1,1
48,Gigli With Salted Purple Sprouting Broccoli,"['400 g Gigli Pasta', '500 g Purple Sprouting Broccoli', '3 Cloves Garlic', '90 ml Olive Oil', '1 Tablespoon Chilli Flakes (less if you do not want it spicy)']",0.39,2382,97.6,69.3,323.4,4,"['Cut any woody ends off the broccoli and slice in half lengthways. Boil a pan of salted water and blanch the broccoli for around 1-2 minutes until aldente. Drain the broccoli and reserve in the pan.;', 'Cook the Gigli in salted boiling water according to packet instructions. The pasta should still have some bite to it when cooked.;', 'Meanwhile slice the garlic thinly, put the oil in a shallow pan over a low heat, and toss in the garlic and chilli. Cook until the garlic is soft. Pour in the broccoli, mixing well in the oil. Season with salt and pepper to taste. Remove from the heat.;', 'Once the pasta is cooked. Drain and mix with the broccoli sauce and serve.']",5,15,20,1,1,1
49,Homemade Gnocchi,"['675 g Potato', '125 g Flour']",0.11,975,1.8,26.6,213.3,4,"['Heat the oven to 200˚c and bake the potatoes for 1hr until tender.;', 'Leave the potatoes too cool until you are able to scoop out the soft flesh.;', 'Then pass the the potatoes through a ricer till fine. If you don’t have a potato ricer you can pass the potatoes through a siv using the back of a spoon. Alternatively just mash as normal. This will give clumpier, rustic, gnocchi which is just as good.;', 'Work the potatoes on a flat surface adding the flour a little at a time.;', 'When the entirety is combined divide into 6 equal clumps. Roll into a rope length 2cm wide.;', 'Then cut each into 2cm pieces. These can be shaped/marked with a fork or left as square pillows.;', 'Drop the gnocchi, a few at a time, into boiling water over a medium heat. Once the gnocchi have have floated to the top remove with a slotted spoon.;', 'Serve immediately.']",30,65,95,1,0,0
